DIS_DIA;SQRT_DIS;ID_LOBO;COD_SEXO;COD_EDAD;COD_STATUS;COD_CRIA;HOME_RANGE;REFUGIO;NUCLEOS;CARRETERAS;GANADO
5930.98;77.01285607;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4556.24;67.49992593;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6083.79;77.99865383;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7419.33;86.13553274;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
12194.3;110.4278045;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5782.91;76.04544694;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3299.1;57.43779244;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
8718.1;93.3707663;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
15578.33;124.8131804;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
586.29;24.21342603;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
3509.81;59.24364945;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
3696.14;60.79588802;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
3898.81;62.44045163;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
7829.31;88.48338827;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
2671.99;51.69129521;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
2423.15;49.22550152;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
3865.36;62.17201943;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
6314.42;79.46332487;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
1030.78;32.10576272;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
4052.55;63.65964185;Vimianza;2;2;1;2;44.93;33.71;12;86.73;2448.385
